user_id,full_name,email,signup_date,plan_type,home_location,acquisition_channel,cohort_month,company_size,role_bucket,visit_pref,churn_risk,price_sensitivity,activity_bias,is_active
U000030,User 30,user30@example.com,2025-09-28,Flex,Jeddah - Corniche,Partnership,2025-09-01,11-50,Analyst,Midday,0.39,0.48,0.31,True
U000031,User 31,user31@example.com,2025-09-11,Pro,Riyadh - Olaya,Paid,2025-09-01,Solo,Analyst,Afternoon,0.3399999999999999,0.52,0.6399999999999999,True
U000032,User 32,user32@example.com,2025-10-31,Enterprise,Jeddah - Corniche,Paid,2025-10-01,Solo,Engineer,Morning,0.36,0.64,0.59,True
U000033,User 33,user33@example.com,2025-09-29,Flex,Jeddah - Corniche,Referral,2025-09-01,51-200,Engineer,Midday,0.35,0.61,0.3299999999999999,True
U000034,User 34,user34@example.com,2025-10-19,Standard,Riyadh - Olaya,Paid,2025-10-01,200+,Sales,Midday,0.47,0.16,0.48,True
U000035,User 35,user35@example.com,2025-08-15,Flex,Dammam - Waterfront,Partnership,2025-08-01,11-50,Analyst,Afternoon,0.52,0.42,0.44,True
U000036,User 36,user36@example.com,2025-10-01,Standard,Jeddah - Corniche,Referral,2025-10-01,200+,Other,Midday,0.29,0.24,0.4,True
U000037,User 37,user37@example.com,2025-10-01,Enterprise,Riyadh - Olaya,Partnership,2025-10-01,51-200,Analyst,Morning,0.29,0.02,0.5299999999999999,True
U000038,User 38,user38@example.com,2025-09-16,Pro,Jeddah - Corniche,Paid,2025-09-01,Solo,Engineer,Afternoon,0.39,0.78,0.59,True
U000039,User 39,user39@example.com,2025-10-01,Flex,Jeddah - Corniche,Partnership,2025-10-01,200+,Other,Afternoon,0.35,0.28,0.45,True
U000040,User 40,user40@example.com,2025-09-20,Pro,Jeddah - Corniche,Referral,2025-09-01,200+,Founder,Morning,0.38,0.31,0.6599999999999999,True
U000041,User 41,user41@example.com,2025-09-24,Flex,Jeddah - Corniche,Organic,2025-09-01,Solo,Founder,Afternoon,0.19,0.25,0.5,True
U000042,User 42,user42@example.com,2025-10-03,Standard,Dammam - Waterfront,Partnership,2025-10-01,11-50,Designer,Midday,0.2,0.15,0.39,True
U000043,User 43,user43@example.com,2025-08-03,Pro,Riyadh - Digital City,Partnership,2025-08-01,Solo,Engineer,Midday,0.37,0.24,0.6,True
U000044,User 44,user44@example.com,2025-09-20,Flex,Riyadh - Olaya,Referral,2025-09-01,200+,Designer,Morning,0.18,0.53,0.47,True
U000045,User 45,user45@example.com,2025-08-07,Standard,Riyadh - Olaya,Referral,2025-08-01,11-50,Other,Midday,0.41,0.27,0.3299999999999999,True
U000046,User 46,user46@example.com,2025-08-21,Pro,Riyadh - Olaya,Partnership,2025-08-01,11-50,Engineer,Morning,0.32,0.72,0.6699999999999999,True
U000047,User 47,user47@example.com,2025-10-12,Pro,Jeddah - Corniche,Paid,2025-10-01,Solo,Sales,Morning,0.35,0.55,0.5399999999999999,True
U000048,User 48,user48@example.com,2025-09-08,Flex,Riyadh - Olaya,Partnership,2025-09-01,200+,Analyst,Midday,0.42,0.64,0.49,True
U000049,User 49,user49@example.com,2025-08-18,Flex,Riyadh - Olaya,Referral,2025-08-01,51-200,Sales,Morning,0.49,0.85,0.49,True
U000050,User 50,user50@example.com,2025-08-04,Flex,Jeddah - Corniche,Organic,2025-08-01,200+,Other,Midday,0.36,0.79,0.39,True
U000051,User 51,user51@example.com,2025-10-28,Standard,Jeddah - Corniche,Organic,2025-10-01,2-10,Engineer,Afternoon,0.54,0.4,0.45,True
U000052,User 52,user52@example.com,2025-09-29,Flex,Riyadh - Digital City,Paid,2025-09-01,51-200,Other,Afternoon,0.37,0.5,0.41,True
U000053,User 53,user53@example.com,2025-08-14,Pro,Riyadh - Digital City,Partnership,2025-08-01,11-50,Analyst,Morning,0.1699999999999999,0.7,0.5499999999999999,True
U000054,User 54,user54@example.com,2025-08-09,Pro,Riyadh - Digital City,Organic,2025-08-01,51-200,Founder,Midday,0.54,0.77,0.57,True
U000055,User 55,user55@example.com,2025-10-29,Flex,Jeddah - Corniche,Partnership,2025-10-01,11-50,Founder,Midday,0.24,0.28,0.44,True
U000056,User 56,user56@example.com,2025-09-22,Flex,Riyadh - Digital City,Referral,2025-09-01,11-50,Other,Afternoon,0.39,0.82,0.32,True
U000057,User 57,user57@example.com,2025-08-02,Enterprise,Jeddah - Corniche,Organic,2025-08-01,51-200,Designer,Afternoon,0.22,0.18,0.5399999999999999,True
U000058,User 58,user58@example.com,2025-10-23,Pro,Riyadh - Olaya,Paid,2025-10-01,11-50,Engineer,Midday,0.25,0.65,0.62,True
U000059,User 59,user59@example.com,2025-10-31,Standard,Jeddah - Corniche,Referral,2025-10-01,11-50,Engineer,Morning,0.19,0.4,0.38,True
U000060,User 60,user60@example.com,2025-09-29,Enterprise,Dammam - Waterfront,Paid,2025-09-01,2-10,Founder,Afternoon,0.51,0.44,0.6599999999999999,True
U000061,User 61,user61@example.com,2025-10-10,Flex,Jeddah - Corniche,Referral,2025-10-01,200+,Sales,Morning,0.52,0.14,0.46,True
U000062,User 62,user62@example.com,2025-09-13,Flex,Riyadh - Olaya,Organic,2025-09-01,200+,Analyst,Morning,0.43,0.02,0.41,True
U000063,User 63,user63@example.com,2025-08-08,Pro,Jeddah - Corniche,Paid,2025-08-01,2-10,Sales,Afternoon,0.19,0.1,0.61,True
U000064,User 64,user64@example.com,2025-09-16,Flex,Riyadh - Digital City,Paid,2025-09-01,51-200,Sales,Morning,0.2299999999999999,0.52,0.44,True
U000065,User 65,user65@example.com,2025-09-04,Standard,Riyadh - Olaya,Referral,2025-09-01,Solo,Other,Morning,0.16,0.45,0.36,True
U000066,User 66,user66@example.com,2025-10-17,Pro,Riyadh - Olaya,Paid,2025-10-01,Solo,Founder,Midday,0.15,0.29,0.6399999999999999,True
U000067,User 67,user67@example.com,2025-10-20,Flex,Riyadh - Digital City,Referral,2025-10-01,Solo,Founder,Morning,0.54,0.56,0.36,True
U000068,User 68,user68@example.com,2025-09-05,Pro,Riyadh - Olaya,Referral,2025-09-01,2-10,Founder,Midday,0.4399999999999999,0.17,0.6799999999999999,True
U000069,User 69,user69@example.com,2025-09-19,Flex,Riyadh - Olaya,Referral,2025-09-01,2-10,Other,Afternoon,0.25,0.5,0.32,True
U000070,User 70,user70@example.com,2025-08-04,Flex,Riyadh - Olaya,Referral,2025-08-01,11-50,Designer,Afternoon,0.42,0.47,0.41,True
U000071,User 71,user71@example.com,2025-08-02,Flex,Riyadh - Digital City,Organic,2025-08-01,Solo,Sales,Midday,0.26,0.65,0.36,True
U000072,User 72,user72@example.com,2025-08-06,Standard,Riyadh - Digital City,Referral,2025-08-01,51-200,Other,Afternoon,0.53,0.07,0.48,True
U000073,User 73,user73@example.com,2025-09-23,Standard,Dammam - Waterfront,Partnership,2025-09-01,51-200,Engineer,Morning,0.4,0.21,0.45,True
U000074,User 74,user74@example.com,2025-08-04,Pro,Riyadh - Olaya,Paid,2025-08-01,Solo,Analyst,Morning,0.27,0.05,0.59,True
U000075,User 75,user75@example.com,2025-09-23,Flex,Riyadh - Olaya,Partnership,2025-09-01,Solo,Designer,Morning,0.22,0.75,0.36,True
U000076,User 76,user76@example.com,2025-10-02,Flex,Jeddah - Corniche,Organic,2025-10-01,Solo,Engineer,Afternoon,0.42,0.56,0.45,True
U000077,User 77,user77@example.com,2025-08-18,Standard,Jeddah - Corniche,Partnership,2025-08-01,2-10,Sales,Morning,0.4399999999999999,0.35,0.38,True
U000078,User 78,user78@example.com,2025-10-29,Flex,Riyadh - Digital City,Paid,2025-10-01,2-10,Founder,Afternoon,0.2299999999999999,0.78,0.32,True
U000079,User 79,user79@example.com,2025-09-13,Standard,Riyadh - Digital City,Partnership,2025-09-01,2-10,Sales,Morning,0.53,0.56,0.48,True
U000080,User 80,user80@example.com,2025-09-03,Flex,Riyadh - Digital City,Organic,2025-09-01,200+,Other,Midday,0.4499999999999999,0.48,0.43,True
U000081,User 81,user81@example.com,2025-10-13,Pro,Jeddah - Corniche,Referral,2025-10-01,51-200,Analyst,Afternoon,0.35,0.44,0.6299999999999999,True
U000082,User 82,user82@example.com,2025-10-01,Flex,Dammam - Waterfront,Partnership,2025-10-01,51-200,Other,Afternoon,0.48,0.81,0.31,True
U000083,User 83,user83@example.com,2025-08-14,Flex,Riyadh - Olaya,Organic,2025-08-01,11-50,Designer,Morning,0.4499999999999999,0.65,0.36,True
U000084,User 84,user84@example.com,2025-09-17,Enterprise,Riyadh - Digital City,Organic,2025-09-01,2-10,Designer,Afternoon,0.39,0.76,0.6699999999999999,True
U000085,User 85,user85@example.com,2025-08-15,Standard,Riyadh - Olaya,Paid,2025-08-01,200+,Analyst,Afternoon,0.26,0.44,0.32,True
U000086,User 86,user86@example.com,2025-10-11,Flex,Riyadh - Digital City,Paid,2025-10-01,200+,Engineer,Midday,0.15,0.78,0.48,True
U000087,User 87,user87@example.com,2025-10-17,Flex,Dammam - Waterfront,Partnership,2025-10-01,51-200,Engineer,Midday,0.36,0.19,0.38,True
U000088,User 88,user88@example.com,2025-10-26,Enterprise,Jeddah - Corniche,Referral,2025-10-01,2-10,Designer,Morning,0.54,0.63,0.6299999999999999,True
U000089,User 89,user89@example.com,2025-10-01,Enterprise,Jeddah - Corniche,Organic,2025-10-01,11-50,Designer,Midday,0.51,0.66,0.5499999999999999,True
U000090,User 90,user90@example.com,2025-09-09,Standard,Riyadh - Olaya,Partnership,2025-09-01,2-10,Founder,Morning,0.15,0.82,0.38,True
U000091,User 91,user91@example.com,2025-10-24,Enterprise,Dammam - Waterfront,Organic,2025-10-01,Solo,Engineer,Morning,0.15,0.02,0.6799999999999999,True
U000092,User 92,user92@example.com,2025-10-19,Pro,Jeddah - Corniche,Organic,2025-10-01,2-10,Analyst,Morning,0.35,0.53,0.5499999999999999,True
U000093,User 93,user93@example.com,2025-10-21,Enterprise,Jeddah - Corniche,Referral,2025-10-01,Solo,Engineer,Afternoon,0.29,0.77,0.62,True
U000094,User 94,user94@example.com,2025-09-22,Pro,Riyadh - Olaya,Referral,2025-09-01,Solo,Founder,Midday,0.31,0.63,0.57,True
U000095,User 95,user95@example.com,2025-08-24,Standard,Riyadh - Olaya,Partnership,2025-08-01,11-50,Other,Morning,0.36,0.39,0.38,True
U000096,User 96,user96@example.com,2025-08-26,Standard,Riyadh - Olaya,Referral,2025-08-01,51-200,Designer,Midday,0.52,0.58,0.44,True
U000097,User 97,user97@example.com,2025-10-28,Standard,Riyadh - Olaya,Referral,2025-10-01,2-10,Designer,Morning,0.49,0.54,0.36,True
U000098,User 98,user98@example.com,2025-09-29,Standard,Dammam - Waterfront,Partnership,2025-09-01,Solo,Founder,Midday,0.3,0.61,0.44,True
U000099,User 99,user99@example.com,2025-09-10,Standard,Jeddah - Corniche,Referral,2025-09-01,2-10,Analyst,Midday,0.22,0.03,0.45,True
U000100,User 100,user100@example.com,2025-08-29,Pro,Riyadh - Olaya,Paid,2025-08-01,51-200,Designer,Morning,0.31,0.59,0.69,True
U000101,User 101,user101@example.com,2025-08-15,Pro,Dammam - Waterfront,Organic,2025-08-01,51-200,Sales,Afternoon,0.31,0.74,0.62,True
U000102,User 102,user102@example.com,2025-09-14,Standard,Jeddah - Corniche,Organic,2025-09-01,200+,Designer,Midday,0.4,0.29,0.3399999999999999,True
U000103,User 103,user103@example.com,2025-10-04,Enterprise,Dammam - Waterfront,Organic,2025-10-01,51-200,Sales,Afternoon,0.27,0.01,0.6599999999999999,True
U000104,User 104,user104@example.com,2025-10-28,Flex,Jeddah - Corniche,Organic,2025-10-01,11-50,Founder,Afternoon,0.31,0.61,0.39,True
U000105,User 105,user105@example.com,2025-10-10,Standard,Jeddah - Corniche,Partnership,2025-10-01,Solo,Founder,Morning,0.52,0.48,0.5,True
U000106,User 106,user106@example.com,2025-08-09,Enterprise,Riyadh - Digital City,Organic,2025-08-01,200+,Designer,Morning,0.31,0.08,0.61,True
U000107,User 107,user107@example.com,2025-10-27,Flex,Dammam - Waterfront,Organic,2025-10-01,11-50,Engineer,Morning,0.28,0.3,0.4,True
U000108,User 108,user108@example.com,2025-08-01,Standard,Dammam - Waterfront,Organic,2025-08-01,2-10,Sales,Midday,0.2,0.6,0.35,True
U000109,User 109,user109@example.com,2025-08-08,Standard,Riyadh - Olaya,Organic,2025-08-01,Solo,Analyst,Morning,0.49,0.78,0.37,True
U000110,User 110,user110@example.com,2025-10-27,Pro,Jeddah - Corniche,Paid,2025-10-01,51-200,Designer,Morning,0.28,0.47,0.6299999999999999,True
U000111,User 111,user111@example.com,2025-10-02,Flex,Riyadh - Digital City,Organic,2025-10-01,Solo,Analyst,Midday,0.22,0.24,0.3399999999999999,True
U000112,User 112,user112@example.com,2025-08-11,Flex,Jeddah - Corniche,Paid,2025-08-01,2-10,Designer,Midday,0.29,0.35,0.3299999999999999,True
U000113,User 113,user113@example.com,2025-10-20,Enterprise,Riyadh - Olaya,Partnership,2025-10-01,200+,Engineer,Morning,0.41,0.07,0.59,True
U000114,User 114,user114@example.com,2025-08-08,Pro,Riyadh - Digital City,Referral,2025-08-01,200+,Engineer,Morning,0.27,0.72,0.5399999999999999,True
U000115,User 115,user115@example.com,2025-09-04,Pro,Dammam - Waterfront,Organic,2025-09-01,200+,Engineer,Morning,0.4499999999999999,0.57,0.57,True
U000116,User 116,user116@example.com,2025-09-04,Pro,Riyadh - Digital City,Referral,2025-09-01,51-200,Other,Morning,0.49,0.44,0.5499999999999999,True
U000117,User 117,user117@example.com,2025-09-02,Pro,Dammam - Waterfront,Referral,2025-09-01,11-50,Engineer,Afternoon,0.2,0.61,0.57,True
U000118,User 118,user118@example.com,2025-08-05,Flex,Jeddah - Corniche,Partnership,2025-08-01,11-50,Founder,Afternoon,0.19,0.38,0.42,True
U000119,User 119,user119@example.com,2025-09-10,Flex,Riyadh - Olaya,Referral,2025-09-01,Solo,Founder,Morning,0.36,0.57,0.47,True
U000120,User 120,user120@example.com,2025-08-28,Standard,Riyadh - Olaya,Paid,2025-08-01,51-200,Other,Afternoon,0.37,0.8,0.4,True
U000121,User 121,user121@example.com,2025-08-07,Standard,Riyadh - Digital City,Referral,2025-08-01,200+,Sales,Midday,0.39,0.82,0.45,True
U000122,User 122,user122@example.com,2025-10-12,Pro,Dammam - Waterfront,Referral,2025-10-01,200+,Analyst,Afternoon,0.48,0.63,0.5599999999999999,True
U000123,User 123,user123@example.com,2025-10-11,Pro,Jeddah - Corniche,Referral,2025-10-01,2-10,Designer,Afternoon,0.4,0.43,0.6599999999999999,True
U000124,User 124,user124@example.com,2025-08-12,Pro,Dammam - Waterfront,Organic,2025-08-01,2-10,Designer,Morning,0.19,0.28,0.6,True
U000125,User 125,user125@example.com,2025-09-03,Standard,Jeddah - Corniche,Organic,2025-09-01,200+,Other,Afternoon,0.4,0.58,0.3299999999999999,True
U000126,User 126,user126@example.com,2025-09-02,Enterprise,Riyadh - Digital City,Paid,2025-09-01,200+,Founder,Afternoon,0.3399999999999999,0.7,0.58,True
U000127,User 127,user127@example.com,2025-09-17,Enterprise,Dammam - Waterfront,Paid,2025-09-01,51-200,Designer,Afternoon,0.2,0.08,0.6,True
U000128,User 128,user128@example.com,2025-08-23,Standard,Jeddah - Corniche,Organic,2025-08-01,11-50,Founder,Afternoon,0.2,0.05,0.37,True
U000129,User 129,user129@example.com,2025-10-01,Standard,Riyadh - Digital City,Paid,2025-10-01,2-10,Sales,Midday,0.32,0.28,0.3299999999999999,True
U000130,User 130,user130@example.com,2025-10-27,Standard,Dammam - Waterfront,Organic,2025-10-01,11-50,Analyst,Morning,0.18,0.57,0.32,True
U000131,User 131,user131@example.com,2025-09-06,Standard,Jeddah - Corniche,Partnership,2025-09-01,51-200,Sales,Morning,0.31,0.16,0.36,True
U000132,User 132,user132@example.com,2025-09-13,Standard,Jeddah - Corniche,Referral,2025-09-01,200+,Other,Midday,0.28,0.15,0.42,True
U000133,User 133,user133@example.com,2025-10-25,Standard,Riyadh - Olaya,Referral,2025-10-01,11-50,Engineer,Afternoon,0.28,0.86,0.43,True
U000134,User 134,user134@example.com,2025-10-30,Pro,Dammam - Waterfront,Paid,2025-10-01,200+,Engineer,Midday,0.27,0.02,0.51,True
U000135,User 135,user135@example.com,2025-09-04,Pro,Riyadh - Digital City,Organic,2025-09-01,200+,Engineer,Afternoon,0.21,0.2,0.7,True
U000136,User 136,user136@example.com,2025-10-04,Pro,Jeddah - Corniche,Organic,2025-10-01,Solo,Sales,Midday,0.29,0.63,0.6699999999999999,True
U000137,User 137,user137@example.com,2025-09-16,Pro,Dammam - Waterfront,Paid,2025-09-01,11-50,Designer,Morning,0.3299999999999999,0.89,0.57,True
U000138,User 138,user138@example.com,2025-10-17,Standard,Riyadh - Olaya,Organic,2025-10-01,11-50,Analyst,Morning,0.49,0.35,0.49,True
U000139,User 139,user139@example.com,2025-08-03,Enterprise,Dammam - Waterfront,Partnership,2025-08-01,200+,Engineer,Morning,0.31,0.85,0.5499999999999999,True
U000140,User 140,user140@example.com,2025-08-01,Flex,Riyadh - Digital City,Referral,2025-08-01,51-200,Other,Afternoon,0.49,0.61,0.48,True
U000141,User 141,user141@example.com,2025-08-05,Standard,Dammam - Waterfront,Paid,2025-08-01,Solo,Other,Afternoon,0.3299999999999999,0.41,0.43,True
U000142,User 142,user142@example.com,2025-10-29,Flex,Riyadh - Olaya,Paid,2025-10-01,200+,Engineer,Midday,0.3399999999999999,0.75,0.45,True
U000143,User 143,user143@example.com,2025-08-14,Enterprise,Jeddah - Corniche,Organic,2025-08-01,2-10,Engineer,Midday,0.5,0.41,0.5499999999999999,True
U000144,User 144,user144@example.com,2025-08-27,Pro,Riyadh - Olaya,Paid,2025-08-01,2-10,Analyst,Morning,0.49,0.6,0.5499999999999999,True
U000145,User 145,user145@example.com,2025-08-09,Enterprise,Riyadh - Olaya,Partnership,2025-08-01,Solo,Engineer,Afternoon,0.4599999999999999,0.12,0.6399999999999999,True
U000146,User 146,user146@example.com,2025-10-18,Standard,Riyadh - Digital City,Organic,2025-10-01,51-200,Analyst,Midday,0.54,0.1,0.38,True
U000147,User 147,user147@example.com,2025-08-15,Pro,Riyadh - Digital City,Organic,2025-08-01,200+,Other,Afternoon,0.38,0.53,0.58,True
U000148,User 148,user148@example.com,2025-10-29,Standard,Riyadh - Olaya,Organic,2025-10-01,11-50,Engineer,Afternoon,0.31,0.15,0.46,True
U000149,User 149,user149@example.com,2025-09-11,Pro,Dammam - Waterfront,Organic,2025-09-01,Solo,Sales,Morning,0.21,0.07,0.51,True
U000150,User 150,user150@example.com,2025-10-16,Flex,Riyadh - Digital City,Partnership,2025-10-01,51-200,Sales,Morning,0.15,0.58,0.3299999999999999,True
U000151,User 151,user151@example.com,2025-09-20,Flex,Jeddah - Corniche,Organic,2025-09-01,11-50,Other,Afternoon,0.49,0.56,0.36,True
U000152,User 152,user152@example.com,2025-10-02,Flex,Riyadh - Digital City,Paid,2025-10-01,2-10,Analyst,Afternoon,0.4599999999999999,0.39,0.3299999999999999,True
U000153,User 153,user153@example.com,2025-09-21,Enterprise,Riyadh - Olaya,Partnership,2025-09-01,2-10,Sales,Afternoon,0.5,0.58,0.69,True
U000154,User 154,user154@example.com,2025-08-04,Standard,Jeddah - Corniche,Referral,2025-08-01,11-50,Analyst,Afternoon,0.27,0.01,0.41,True
U000155,User 155,user155@example.com,2025-08-23,Enterprise,Jeddah - Corniche,Referral,2025-08-01,Solo,Sales,Morning,0.2,0.75,0.58,True
U000156,User 156,user156@example.com,2025-08-15,Flex,Riyadh - Olaya,Paid,2025-08-01,2-10,Sales,Midday,0.28,0.09,0.3299999999999999,True
U000157,User 157,user157@example.com,2025-09-12,Standard,Jeddah - Corniche,Paid,2025-09-01,200+,Analyst,Morning,0.51,0.43,0.36,True
U000158,User 158,user158@example.com,2025-08-29,Flex,Riyadh - Olaya,Partnership,2025-08-01,11-50,Designer,Midday,0.29,0.1,0.39,True
U000159,User 159,user159@example.com,2025-09-05,Enterprise,Jeddah - Corniche,Referral,2025-09-01,11-50,Sales,Afternoon,0.18,0.78,0.5599999999999999,True
U000160,User 160,user160@example.com,2025-08-13,Enterprise,Jeddah - Corniche,Referral,2025-08-01,2-10,Engineer,Midday,0.54,0.79,0.58,True
U000161,User 161,user161@example.com,2025-09-01,Enterprise,Jeddah - Corniche,Referral,2025-09-01,Solo,Other,Morning,0.3,0.8,0.5299999999999999,True
U000162,User 162,user162@example.com,2025-10-10,Flex,Jeddah - Corniche,Referral,2025-10-01,200+,Designer,Morning,0.42,0.89,0.36,True
U000163,User 163,user163@example.com,2025-09-28,Standard,Riyadh - Digital City,Referral,2025-09-01,Solo,Analyst,Afternoon,0.3,0.01,0.4,True
U000164,User 164,user164@example.com,2025-10-25,Standard,Jeddah - Corniche,Organic,2025-10-01,51-200,Designer,Morning,0.18,0.49,0.32,True
U000165,User 165,user165@example.com,2025-08-28,Flex,Riyadh - Olaya,Paid,2025-08-01,51-200,Founder,Afternoon,0.4,0.11,0.48,True
U000166,User 166,user166@example.com,2025-10-05,Standard,Dammam - Waterfront,Organic,2025-10-01,2-10,Founder,Morning,0.42,0.89,0.44,True
U000167,User 167,user167@example.com,2025-09-11,Flex,Riyadh - Digital City,Referral,2025-09-01,2-10,Sales,Morning,0.4599999999999999,0.22,0.37,True
U000168,User 168,user168@example.com,2025-09-14,Standard,Riyadh - Digital City,Partnership,2025-09-01,2-10,Sales,Afternoon,0.16,0.17,0.37,True
U000169,User 169,user169@example.com,2025-10-01,Pro,Riyadh - Olaya,Partnership,2025-10-01,51-200,Engineer,Midday,0.4499999999999999,0.61,0.58,True
U000170,User 170,user170@example.com,2025-09-26,Pro,Riyadh - Olaya,Referral,2025-09-01,Solo,Other,Morning,0.1699999999999999,0.61,0.59,True
U000171,User 171,user171@example.com,2025-08-06,Enterprise,Riyadh - Digital City,Referral,2025-08-01,Solo,Designer,Midday,0.22,0.37,0.62,True
U000172,User 172,user172@example.com,2025-08-28,Pro,Riyadh - Olaya,Partnership,2025-08-01,2-10,Founder,Morning,0.38,0.66,0.7,True
U000173,User 173,user173@example.com,2025-08-28,Pro,Riyadh - Olaya,Organic,2025-08-01,200+,Sales,Morning,0.29,0.37,0.52,True
U000174,User 174,user174@example.com,2025-09-13,Pro,Dammam - Waterfront,Organic,2025-09-01,Solo,Other,Morning,0.4499999999999999,0.66,0.6,True
U000175,User 175,user175@example.com,2025-10-23,Flex,Dammam - Waterfront,Referral,2025-10-01,51-200,Designer,Morning,0.2299999999999999,0.6,0.32,True
U000176,User 176,user176@example.com,2025-08-30,Pro,Riyadh - Olaya,Organic,2025-08-01,11-50,Sales,Midday,0.53,0.0,0.5299999999999999,True
U000177,User 177,user177@example.com,2025-10-01,Pro,Riyadh - Digital City,Partnership,2025-10-01,11-50,Sales,Midday,0.16,0.44,0.59,True
U000178,User 178,user178@example.com,2025-10-14,Enterprise,Dammam - Waterfront,Organic,2025-10-01,11-50,Founder,Morning,0.22,0.27,0.7,True
U000179,User 179,user179@example.com,2025-10-31,Pro,Dammam - Waterfront,Referral,2025-10-01,200+,Founder,Morning,0.21,0.2,0.52,True
